ID,AD,DURUM,ENLEM,BOYLAM,TIP
1,Hoca Fakih Kavsagi,Yesil Dalga,37.87424363412914,32.45803356170654,Master
2026,Azerbeycan Erencik,Dinamik Faz,37.85594021490719,32.470357469859096,Master
42104,Ladik,Sabit Sureli Faz,38.056444431835416,32.5165057182312,Maestro
2032,Akincilar Kavsagi,Dinamik Faz,37.902014724521635,32.465571355875,Maestro
2033,Karatay Sanayi Kavsagi,Dinamik Faz,37.90312443931207,32.4979242736822,Master
4232,Guzeldere Kavsagi,Dinamik Faz,37.92176157647164,32.49257484836335,Maestro
154,Aziz Mahmut Hudai,Dinamik Faz,37.87759703520075,32.441294929005835,Master
2029,DSI Kavsagi,Dinamik Faz,37.86717874545227,32.483993287561816,Master
2027,Aksarnic Cami,Sabit Sureli Faz,37.87068985887616,32.45508149225816,Master
2028,Dede Korkut Kavsagi,Dinamik Faz,37.87878283303809,32.46008276939393,Master
2034,Lamci Alt Gecidi Kavsagi,Dinamik Faz,37.8999398110406,32.50352659784892,Master
2035,Burhandede Kavsagi,Sabit Sureli Faz,37.86314921142663,32.5032428396928,Master
2036,Selcuklu Belediyesi Kavsagi,Yesil Dalga,37.94836546411435,32.49911139778237,Master
2037,TOKI FIRAT,Dinamik Faz,37.99435455079001,32.51893247509372,Maestro
2038,Hal Onu Kavsagi,Yesil Dalga,37.89108253418514,32.49201735443665,Maestro
2031,Malas Alt Gecit Kavsagi,Yesil Dalga,37.889826635195554,32.49081048472836,Maestro
4230,Ziyaulhak Kavsagi,Dinamik Faz,37.91110294825728,32.48820879269181,Master
4231,Ozalkent Kavsagi,Dinamik Faz,37.91639869919613,32.478418418664546,Maestro
286,Baris Cd. Hicran Sk. Kavsagi,Dinamik Faz,37.94249194750015,32.492948747433616,Maestro
252,Karaman Yolu Selim Sultan Kavsagi,Dinamik Faz,37.832897272679965,32.51542262265957,Master
209,Ebu Suud,Dinamik Faz,37.86333060607029,32.4700954694974,Maestro
2023,Fidanlik,Dinamik Faz,37.855099729487364,32.426901896470554,Maestro
2030,Otel Bera Kavsagi,Yesil Dalga,37.87795112074683,32.483252254376225,Master
271,Canfeza,Dinamik Faz,37.86683129758417,32.536014008534494,Maestro
292,Elmali Hamdi Kavsagi,Dinamik Faz,37.95868054925556,32.50910349190235,Maestro
259,Marsan Kavsagi,Dinamik Faz,37.901665533813514,32.53481821083756,Master
237,Karaman Yolu Sakalak Kavsagi,Dinamik Faz,37.84364373620438,32.51063458595581,Maestro
296,Aslanli Kisla Ali Ulvi Kurucu Cd.,Dinamik Faz,37.8705345784424,32.51486405263222,Master
105,Otogar Onu-1 Kavsagi,Yesil Dalga,37.94890582258584,32.51286327838898,Master
279,Yaka Fatih Kavsagi,Dinamik Faz,37.87029749029814,32.44565361498735,Maestro
124,Istasyon Kavsagi,Dinamik Faz,37.866384952112234,32.47720903591801,Master
104,Selcuklu Kavsagi,Dinamik Faz,37.92842030462367,32.50921566439649,Maestro
212,Besyol Kavsagi,Dinamik Faz,37.87843098319987,32.49456686103554,Master
113,Aydinlik Altgecit Kavsagi,Dinamik Faz,37.90383137869683,32.49534671699075,Maestro
102,Binkonut Kavsagi,Pasif,37.94158548103723,32.51184212862472,Sabit
126,Form Kavsagi,Dinamik Faz,37.87062225567436,32.48461407306445,Maestro
207,Fenni Firin Kavsagi,Dinamik Faz,37.873609265944,32.50144709457436,Maestro
117,Kule Kavsagi,Dinamik Faz,37.8878187443386,32.49496721708488,Maestro
118,Nalcaci Kavsagi,Dinamik Faz,37.881726985412925,32.48951690325066,Maestro
278,Aziz Fatih Kavsagi,Dinamik Faz,37.874807720236056,32.448787160817005,Master
215,Furkan Dede Kavsagi,Dinamik Faz,37.86595392270513,32.49418731041226,Master
3,Ata Petrol Kavsagi,Dinamik Faz,37.8770084614687,32.493905125435276,Master
2004,Beysehir Cevreyolu Kavsagi,Dinamik Faz,37.879809775276044,32.45246545258067,Maestro
116,Kabatas Kavsagi,Dinamik Faz,37.8831441802027,32.48639080403052,Master
204,Karatay Muzesi Kavsagi,Yesil Dalga,37.874465792742065,32.49321185177746,Master
120,Adalhan Kavsagi,Dinamik Faz,37.87460818220989,32.48536450190056,Master
119,Belediye Kavsagi,Dinamik Faz,37.87680604263645,32.48742542477635,Master
213,Emniyet Kavsagi,Dinamik Faz,37.8861979634746,32.49857608963691,Master
214,Hakimiyet Kavsagi,Dinamik Faz,37.86622732906047,32.50094491812423,Maestro
5,Tarim Il Mudurlugu Kavsagi,Dinamik Faz,37.86288310094707,32.48114939341269,Master
136,Lastik Duragi Kavsagi,Dinamik Faz,37.86607491219019,32.460254430770874,Master
203,Is Bankasi Kavsagi,Yesil Dalga,37.87273297734057,32.49417355296256,Master
2,Askeri Hastane Kavsagi,Dinamik Faz,37.87031885726187,32.48057790180917,Maestro
123,Feridiye Karakolu Kavsagi,Dinamik Faz,37.86672730625678,32.48058292356973,Master
1355,Yaka Cinili  Cesme Kavsagi,Yesil Dalga,37.870825774801915,32.45822452300126,Master
121,Ihsaniye Kavsagi,Dinamik Faz,37.8735153037866,32.48156726360321,Maestro
150,Sefikcan Alt Gecidi Kavsagi,Yesil Dalga,37.88748768655257,32.461710540510424,Maestro
177,Havzan (Meteoroloji) Kavsagi,Dinamik Faz,37.868603120417205,32.46984601020813,Master
289,Sultan Sk. Kavsagi,Dinamik Faz,37.955888043758534,32.508876493458274,Maestro
42100,Kulu - Kozanli Kavsagi,Pasif,39.08899924898799,33.07138850970637,Master
2024,Atlihan,Dinamik Faz,37.880510328702734,32.44023216743483,Maestro
42101,Kulu - Belediye Kavsagi,Yesil Dalga,39.091870674309526,33.07330041026967,Master
42102,Kulu -  Otogar Kavsagi,Yesil Dalga,39.0958287871565,33.076017442429816,Master
257,Karaman Yolu Canci ,Dinamik Faz,37.83993039336903,32.51229476174785,Maestro
42054,Kadinhani MYO,Sabit Sureli Faz,38.2453729484275,32.22828768396539,Maestro
156,Maresal,Pasif,37.873176594733295,32.485524863004684,Sabit
42016,Kadinhani Polatli,Sabit Sureli Faz,38.25037303611699,32.20270840503872,Maestro
219,Basak Cd. Sedirler,Pasif,37.88942376296944,32.53472596406937,Sabit
42105,Otogar Onu-2 Kavsagi,Yesil Dalga,37.94837705035762,32.50710994005203,Master
42106,Kulu Ogretmenevi,Yesil Dalga,39.10310416157632,33.08076202328688,Master
59b918419932db0536c3c508,Turmak,Dinamik Faz,37.9583215610997,32.514129281044006,Maestro
511,Hacikaymak,Dinamik Faz,37.888012803825696,32.48149216175079,Maestro
149,Sille Yolu Kardelen,Dinamik Faz,37.90621531798397,32.45987355709076,Maestro
330,Ismil Cevreyolu,Sabit Sureli Faz,37.73811042475649,33.04513613517759,Maestro
2905,Kabatas-Persembe,Pasif,37.88322296027887,32.48627305034461,Sabit
147,Sefikcan Adakale,Yesil Dalga,37.88555298509412,32.46570745519168,Master
148,Sefikcan Engelliler okulu,Yesil Dalga,37.88174259739214,32.474438198179016,Master
0278,Genc Osman Yeditepe,Yesil Dalga,37.89257415171554,32.46126428246499,Maestro
333,Beysehir Cd. Hekimoglu,Dinamik Faz,37.88166238943655,32.43259001564679,Maestro
338,Kizoren Kavsagi,Sabit Sureli Faz,38.140733592298275,33.17606627941132,Maestro
137,Vezirhan Kavsagi,Dinamik Faz,37.914112961907755,32.4984759092331,Master
190,Seker Fabrikasi Nizamiye,Dinamik Faz,37.877455409659845,32.46865438181217,Maestro
313,Alaaddin Kap - Topraklik Kavsagi,Dinamik Faz,37.866990805810744,32.51281451077376,Maestro
184,Ali Ulvi Kurucu Sedirler,Yesil Dalga,37.87698327738331,32.51275062561036,Master
183,Ali Ulvi Kurucu Yediler,Yesil Dalga,37.880318482159744,32.5116006972069,Master
182,Ali Ulvi Kurucu Kececiler,Yesil Dalga,37.882259026638735,32.51064777374268,Master
180,Ali Ulvi Kurucu Karakayis,Yesil Dalga,37.886234642541005,32.50344872474671,Master
232,MTA,Dinamik Faz,37.95891122685232,32.52020156170123,Maestro
347,Sehir Cad. Kavsagi,Dinamik Faz,37.8605782343261,32.46506990205916,Master
170,Sumerbank Kavsagi,Yesil Dalga,37.8714046416071,32.50166455283762,Master
5e2afa2d99325d99e403474f,test statik,Pasif,37.87563137778429,32.588324879235415,Sabit
1001,TESTRUT,Pasif,37.87272768263813,32.49173283576966,Sabit
42065,Ak Atakent,Sabit Sureli Faz,38.392859568181905,31.381837403377073,Maestro
42064,Ak Karayollari,Yesil Dalga,38.3743533198753,31.43495857715607,Maestro
42063,Ak Istasyon,Yesil Dalga,38.369293865867704,31.441138386726383,Maestro
42013,Ak Kozagac,Yesil Dalga,38.37863864882365,31.422824263572696,Maestro
42047,Ak Yildirim,Sabit Sureli Faz,38.360566212422334,31.408812403678898,Maestro
42096,Ak Stadyum,Pasif,38.36030962451818,31.418165266513828,Maestro
42097,Ak Adliye,Yesil Dalga,38.359432591782245,31.415421366691593,Maestro
42098,Ak Belediye,Yesil Dalga,38.359138141958546,31.411435604095463,Maestro
42053,Ak Otogar,Yesil Dalga,38.367802878649314,31.43822014331818,Maestro
42050,Ak Dortyol,Yesil Dalga,38.36216040213615,31.427355855703357,Maestro
135-1,Carsamba Pazari,Yesil Dalga,37.8691197620101,32.45824277400971,Master
116-1,Persembe Pazari,Dinamik Faz,37.8818155141139,32.4853827059269,Master
189,Egitim Fakultesi,Pasif,37.86442221327819,32.453965991735465,Sabit
189-2,Ilahiyat Fakultesi,Pasif,37.86338991936755,32.45038256049157,Sabit
341,Mesaj-Sumeyye,Yesil Dalga,38.00289509777867,32.52629309892655,Maestro
108,Mesaj-Osmanli,Yesil Dalga,38.009991446637116,32.52264864742756,Maestro
266,Konak Ekmek,Sabit Sureli Faz,37.85170122615028,32.46313244104386,Maestro
103,Ozel Idare,Pasif,37.93711224040806,32.51096829771996,Sabit
103-2,Eyup Sultan,Pasif,37.937102721013986,32.50948369503022,Sabit
106,Teknik Lise,Pasif,37.92429061473885,32.5078958272934,Sabit
107,Rixos Hotel,Pasif,38.00910384621295,32.51895859837533,Sabit
