Tarih;Konya- Bosna (Yeni);;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );NO2 ( mg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
11.03.2021 16:00;48,15;14,99;-;-;76,15
11.03.2021 17:00;48,92;24,56;19,6;22,55;59,41
11.03.2021 18:00;46,78;24,13;22,79;26,84;34,39
11.03.2021 19:00;36,17;24,33;19,56;22,28;39,45
11.03.2021 20:00;27,96;24,81;15,23;16,99;49,99
11.03.2021 21:00;23,13;24,74;14,4;15,92;55,72
11.03.2021 22:00;17,26;24,64;11,18;12,41;55,7
11.03.2021 23:00;13,61;24,99;10,54;11,86;54,63
12.03.2021 00:00;10,3;21,69;9,13;10,01;60,93
12.03.2021 01:00;9,45;7,18;8,77;10,23;53,05
12.03.2021 02:00;10,31;7,54;8,04;9,11;60,71
12.03.2021 03:00;9,1;7,48;7,31;8,32;59,9
12.03.2021 04:00;7,54;6,83;6,68;7,65;60,12
12.03.2021 05:00;6,08;6,9;6,88;7,75;60,04
12.03.2021 06:00;4,56;6,83;7;7,73;61,1
12.03.2021 07:00;3,55;6,55;9,23;10,15;58,67
12.03.2021 08:00;2,65;6,25;15,38;17,59;55,31
12.03.2021 09:00;3,7;6,54;17,62;21,48;54,8
12.03.2021 10:00;6,52;6,48;12,21;15,75;61,4
12.03.2021 11:00;7,07;6,52;9,33;11,69;71,64
12.03.2021 12:00;5,87;6,26;7,79;10,02;73,43
12.03.2021 13:00;5,01;5,86;9,11;12,55;75,94
12.03.2021 14:00;5,07;5,97;10,14;13,43;79,32
12.03.2021 15:00;6,25;5,57;10,48;13,41;78,6
12.03.2021 16:00;7,01;-;10,28;13,54;79,12
12.03.2021 17:00;6,14;-;12,07;15,98;80,78
12.03.2021 18:00;6,46;7,26;14,9;20,19;76,34
12.03.2021 19:00;5,69;6,61;27,91;36,03;64,06
12.03.2021 20:00;9,61;7,36;39,45;50,13;53,59
12.03.2021 21:00;11,24;8,97;82,2;109,89;28,62
12.03.2021 22:00;16,34;6,58;83,55;104,66;7,18
12.03.2021 23:00;17,47;7,08;89,59;114,52;5,45
13.03.2021 00:00;24,37;12,38;104,53;137,26;-
13.03.2021 01:00;35,9;9,08;50,51;57,82;33,78
13.03.2021 02:00;37,28;7,55;46,17;51,74;33,39
13.03.2021 03:00;27,36;6,82;42,89;48;30,17
13.03.2021 04:00;20,19;6,8;50,39;57,6;21,92
13.03.2021 05:00;17,7;8,01;61,82;74,5;14,11
13.03.2021 06:00;15,1;7,54;72,21;97,37;3,71
13.03.2021 07:00;11,59;7,67;66,05;84,47;6,5
13.03.2021 08:00;8,73;9,11;91,47;140,57;3,21
13.03.2021 09:00;14,02;14,8;93,47;145,1;15,4
13.03.2021 10:00;35,31;15,57;64,34;92,63;35,43
13.03.2021 11:00;44,16;15,69;89,11;127,46;39,1
13.03.2021 12:00;58,85;22,8;84,38;115,77;48,45
13.03.2021 13:00;80,21;17,12;55,44;71,74;66,9
13.03.2021 14:00;72,56;12,8;53,04;66,36;75,42
13.03.2021 15:00;69,88;12,03;49,62;62,32;75,68
13.03.2021 16:00;67,07;9,08;44,22;55,16;75,47
13.03.2021 17:00;59,85;8,11;37,94;45,9;79,24
13.03.2021 18:00;48,92;7,9;44,08;51,96;69,8
13.03.2021 19:00;44,11;11,6;63,66;78,2;50,93
13.03.2021 20:00;46,64;11,42;119,4;167,37;11,08
13.03.2021 21:00;44,57;9,93;128,69;199,03;1,46
13.03.2021 22:00;41,26;11,04;119,36;174,34;2,81
13.03.2021 23:00;49,26;10,33;105,21;147,5;8,51
14.03.2021 00:00;49,7;8,98;78,08;98,68;14,54
14.03.2021 01:00;40,26;11,72;100,29;152,83;-
14.03.2021 02:00;37,26;10,12;91,54;137,06;-
14.03.2021 03:00;36,37;9,62;72,85;97,93;8,57
14.03.2021 04:00;35,06;9,45;62,23;73,57;11,27
14.03.2021 05:00;29,6;11,49;64,55;76,29;15,16
14.03.2021 06:00;25,69;11,15;66,12;75,24;11,72
14.03.2021 07:00;21,08;9,73;75,64;98,54;5,09
14.03.2021 08:00;23,41;9,91;69,67;92,27;3,85
14.03.2021 09:00;23,3;11,9;92,99;147,03;5,22
14.03.2021 10:00;26,13;13,37;50,17;67,36;29,86
14.03.2021 11:00;28,4;14,05;26,96;36,48;41,73
14.03.2021 12:00;28,32;23,31;24,53;32,63;51,58
14.03.2021 13:00;26,34;16,85;15,5;19,91;71,49
14.03.2021 14:00;26,02;12,53;12,17;15,02;80,97
14.03.2021 15:00;18,75;12,64;16,26;19,31;79,97
14.03.2021 16:00;16,58;13,46;16,99;20,01;79,22
14.03.2021 17:00;19,04;14,23;19,97;22,74;74,34
14.03.2021 18:00;16,78;14,37;23,3;24,92;69,9
14.03.2021 19:00;20,97;13,57;17,25;19,27;63,67
14.03.2021 20:00;19,47;13,29;24,43;27,35;46,63
14.03.2021 21:00;20,37;13,14;24,37;27,63;37,53
14.03.2021 22:00;15,13;14,32;24,32;27,11;39,01
14.03.2021 23:00;14,06;14,39;34,54;39,22;25,75
15.03.2021 00:00;19,5;14,58;43,81;52,62;28,66
15.03.2021 01:00;14,92;7,94;58,14;75,57;-
15.03.2021 02:00;13,6;7,18;-;-;19,51
15.03.2021 03:00;12,9;8,29;40,51;44,05;19,36
15.03.2021 04:00;14,97;8,27;32,42;34,92;23,32
15.03.2021 05:00;18,57;8,48;27,63;29,79;31,22
15.03.2021 06:00;17,93;9,54;39,57;44,94;14,86
15.03.2021 07:00;29,31;9,82;45,22;53,79;8
15.03.2021 08:00;25,68;12,94;52,28;69,3;4,8
15.03.2021 09:00;36,72;12,19;52;72,41;9,46
15.03.2021 10:00;34,48;11,83;55,39;74,37;15,67
15.03.2021 11:00;32,66;12,86;75,94;114,08;7,95
15.03.2021 12:00;37,05;11,8;62,76;84,16;16,88
15.03.2021 13:00;37,78;12,16;52,47;66,57;31,54
15.03.2021 14:00;27,86;12,97;48,77;63,41;40,13
15.03.2021 15:00;30,83;14,84;42,45;53,63;45,22
15.03.2021 16:00;33,6;14,45;40,05;49,04;48,17
15.03.2021 17:00;27,73;14,88;47,12;61,57;45,21
15.03.2021 18:00;32,11;14,49;41,45;51,39;47,07
15.03.2021 19:00;28,66;15,13;48,54;61,46;36,2
15.03.2021 20:00;28,05;15,16;42,66;50,68;29,77
15.03.2021 21:00;26,76;15,55;36,71;43,92;26,66
15.03.2021 22:00;21,94;14,8;47,24;54,71;24,59
