Tarih;Konya Ereðli Yaygýnlaþtýrma;;;
;PM10 ( mg/m3 );SO2 ( mg/m3 );NO2 ( mg/m3 );NOX ( mg/m3 )
01.01.2021 00:00:56;-;-;76,97;105,19
01.01.2021 01:00:56;-;-;74,32;99,03
01.01.2021 02:00:56;-;-;72,79;95,22
01.01.2021 03:00:56;-;-;74,01;95,88
01.01.2021 04:00:56;-;-;68,70;88,51
01.01.2021 05:00:56;-;-;63,35;80,84
01.01.2021 06:00:56;-;-;61,61;79,64
01.01.2021 07:00:56;-;-;59,78;76,52
01.01.2021 08:00:56;-;-;58,99;73,50
01.01.2021 09:00:56;-;-;64,43;80,11
01.01.2021 10:00:56;-;-;73,50;96,32
01.01.2021 11:00:56;-;-;88,01;127,22
01.01.2021 12:00:56;-;-;80,97;112,91
01.01.2021 13:00:56;-;-;78,85;107,13
01.01.2021 14:00:56;-;-;72,69;95,20
01.01.2021 15:00:56;-;-;68,70;87,05
01.01.2021 16:00:56;-;-;68,00;84,49
01.01.2021 17:00:56;-;-;68,99;85,95
01.01.2021 18:00:56;-;-;74,40;91,89
01.01.2021 19:00:56;-;-;91,33;120,87
01.01.2021 20:00:56;-;-;94,48;129,36
01.01.2021 21:00:56;-;-;87,16;120,17
01.01.2021 22:00:56;-;-;76,42;103,21
01.01.2021 23:00:56;-;-;71,89;94,29
02.01.2021 00:00:56;-;-;69,75;90,52
02.01.2021 01:00:56;-;-;67,11;85,19
02.01.2021 02:00:56;-;-;65,80;82,27
02.01.2021 03:00:56;-;-;63,88;79,00
02.01.2021 04:00:56;-;-;67,61;83,61
02.01.2021 05:00:56;-;-;65,66;82,19
02.01.2021 06:00:56;-;-;63,90;80,72
02.01.2021 07:00:56;-;-;62,57;78,91
02.01.2021 08:00:56;-;-;68,05;88,55
02.01.2021 09:00:56;-;-;80,28;116,14
02.01.2021 10:00:56;-;-;81,25;122,93
02.01.2021 11:00:56;-;-;76,42;111,66
02.01.2021 12:00:56;-;-;74,94;106,46
02.01.2021 13:00:56;-;-;70,45;95,33
02.01.2021 14:00:56;-;-;67,59;87,87
02.01.2021 15:00:56;-;-;66,93;85,30
02.01.2021 16:00:56;-;-;65,83;82,72
02.01.2021 17:00:56;-;-;67,09;84,23
02.01.2021 18:00:56;-;-;72,53;92,68
02.01.2021 19:00:56;-;-;89,60;125,80
02.01.2021 20:00:56;-;-;104,09;163,51
02.01.2021 21:00:56;-;-;106,74;174,75
02.01.2021 22:00:56;-;-;93,00;143,63
02.01.2021 23:00:56;-;-;84,84;125,35
03.01.2021 00:00:56;-;-;81,11;116,44
03.01.2021 01:00:56;-;-;74,10;104,10
03.01.2021 02:00:56;-;-;72,79;102,07
03.01.2021 03:00:56;-;-;69,99;96,85
03.01.2021 04:00:56;-;-;63,42;85,66
