Tarih;Konya-Erenköy-Belediye;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
01.01.2021 00:00:56;42,61;-;854,11;32,39;67,89;-
01.01.2021 01:00:56;49,89;-;755,65;25,94;50,81;-
01.01.2021 02:00:56;27,93;-;797,97;22,10;40,26;-
01.01.2021 03:00:56;33,96;-;909,43;22,59;41,42;-
01.01.2021 04:00:56;37,44;-;841,71;21,73;40,57;-
01.01.2021 05:00:56;41,13;-;881,13;20,90;38,92;-
01.01.2021 06:00:56;28,88;-;1.038,63;27,61;74,53;-
01.01.2021 07:00:56;35,97;-;1.048,36;30,38;117,30;-
01.01.2021 08:00:56;39,39;-;1.193,06;34,03;132,07;-
01.01.2021 09:00:56;47,92;-;1.160,25;32,68;88,39;-
01.01.2021 10:00:56;71,99;-;1.755,94;46,76;123,36;-
01.01.2021 11:00:56;106,92;-;2.402,94;69,06;160,23;-
01.01.2021 12:00:56;136,87;-;2.078,61;75,67;139,08;-
01.01.2021 13:00:56;159,07;-;1.252,17;54,21;96,60;-
01.01.2021 14:00:56;137,72;-;921,17;42,72;71,28;-
01.01.2021 15:00:56;115,67;-;717,26;37,27;60,16;-
01.01.2021 16:00:56;82,05;-;670,69;35,68;53,64;-
01.01.2021 17:00:56;84,66;-;1.106,56;48,09;125,64;-
01.01.2021 18:00:56;94,33;-;1.336,28;46,31;176,33;-
01.01.2021 19:00:56;114,23;-;1.184,11;42,59;134,93;-
01.01.2021 20:00:56;114,19;-;908,95;36,41;74,77;-
01.01.2021 21:00:56;80,39;-;741,86;29,32;51,78;-
01.01.2021 22:00:56;61,03;-;790,32;27,99;56,49;-
01.01.2021 23:00:56;58,91;-;722,13;30,83;63,85;-
02.01.2021 00:00:56;60,62;-;434,02;29,78;60,74;-
02.01.2021 01:00:56;39,57;-;463,56;27,14;48,00;-
02.01.2021 02:00:56;40,48;-;691,92;25,66;46,30;-
02.01.2021 03:00:56;37,27;-;875,07;21,74;38,85;-
02.01.2021 04:00:56;52,14;-;764,58;20,57;36,37;-
02.01.2021 05:00:56;43,87;-;721,91;20,51;37,28;-
02.01.2021 06:00:56;36,98;-;765,58;28,11;74,07;-
02.01.2021 07:00:56;46,11;-;765,69;32,60;137,08;-
02.01.2021 08:00:56;60,60;-;1.311,98;33,18;173,95;-
02.01.2021 09:00:56;64,61;-;1.397,35;32,92;235,74;-
02.01.2021 10:00:56;70,64;-;1.146,24;35,62;112,03;-
02.01.2021 11:00:56;73,09;-;886,00;39,28;66,82;-
02.01.2021 12:00:56;59,67;-;691,29;43,67;65,74;-
02.01.2021 13:00:56;58,74;-;698,06;53,93;82,46;-
02.01.2021 14:00:56;66,32;-;429,44;41,65;57,89;-
02.01.2021 15:00:56;65,22;-;358,08;37,91;54,80;-
02.01.2021 16:00:56;46,20;-;292,42;33,95;52,85;-
