Tarih;Konya-Karatay;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
01.01.2021 00:00:56;121,59;25,32;3.700,58;50,78;180,94;6,04
01.01.2021 01:00:56;113,38;25,93;2.434,00;46,69;131,55;7,13
01.01.2021 02:00:56;78,48;24,69;2.452,88;46,58;103,93;6,18
01.01.2021 03:00:56;84,72;23,42;2.342,48;42,02;93,69;6,37
01.01.2021 04:00:56;80,86;22,07;2.030,33;37,47;88,27;6,91
01.01.2021 05:00:56;77,97;21,41;2.116,88;37,82;78,36;5,38
01.01.2021 06:00:56;63,93;20,55;1.344,95;37,16;73,33;6,38
01.01.2021 07:00:56;63,34;21,08;1.225,15;35,89;84,28;5,92
01.01.2021 08:00:56;70,28;23,46;2.455,03;36,98;152,47;5,95
01.01.2021 09:00:56;100,38;24,34;2.074,11;44,93;163,86;6,03
01.01.2021 10:00:56;90,69;28,00;1.535,62;51,23;126,44;5,37
01.01.2021 11:00:56;72,03;24,91;1.101,37;53,86;88,07;8,68
01.01.2021 12:00:56;56,93;21,07;675,93;35,74;45,04;20,73
01.01.2021 13:00:56;29,34;18,25;487,91;22,70;26,71;31,66
01.01.2021 14:00:56;33,17;16,40;332,88;16,79;20,51;37,29
01.01.2021 15:00:56;21,59;15,38;264,91;14,92;18,22;38,75
01.01.2021 16:00:56;16,07;14,96;278,86;15,82;18,82;41,30
01.01.2021 17:00:56;17,97;14,78;409,53;24,92;28,52;29,45
01.01.2021 18:00:56;34,31;15,70;961,85;55,02;106,29;9,26
01.01.2021 19:00:56;83,41;18,23;2.054,85;56,95;155,45;6,56
01.01.2021 20:00:56;139,14;18,76;1.418,32;63,76;113,04;6,87
01.01.2021 21:00:56;85,97;18,23;1.448,17;59,35;93,41;6,88
01.01.2021 22:00:56;72,55;17,78;1.593,44;52,48;91,47;7,21
01.01.2021 23:00:56;81,66;18,67;2.273,92;50,23;112,86;6,73
02.01.2021 00:00:56;105,24;19,58;3.197,09;46,12;154,68;6,86
02.01.2021 01:00:56;121,31;20,24;3.029,07;45,78;127,39;7,32
02.01.2021 02:00:56;108,14;19,22;1.534,67;41,16;70,70;5,89
02.01.2021 03:00:56;56,90;18,12;1.895,39;36,62;71,42;6,69
02.01.2021 04:00:56;68,45;18,00;2.361,51;36,77;68,13;7,31
02.01.2021 05:00:56;59,62;16,99;2.034,62;35,74;55,06;7,11
02.01.2021 06:00:56;41,41;16,57;2.202,06;35,50;66,73;6,61
02.01.2021 07:00:56;49,14;18,24;3.193,99;36,47;103,15;6,86
02.01.2021 08:00:56;82,28;21,68;5.710,50;38,72;158,93;5,79
02.01.2021 09:00:56;139,86;21,77;5.785,03;45,75;179,53;6,57
02.01.2021 10:00:56;136,48;20,76;4.153,95;62,59;129,71;7,57
02.01.2021 11:00:56;112,83;18,72;2.443,67;61,59;89,51;11,14
02.01.2021 12:00:56;70,07;16,96;1.421,94;58,10;77,25;13,58
02.01.2021 13:00:56;68,45;16,49;658,27;29,27;34,56;29,42
02.01.2021 14:00:56;32,83;15,73;416,51;17,21;20,79;37,65
02.01.2021 15:00:56;16,72;14,82;320,45;13,79;17,07;42,21
02.01.2021 16:00:56;13,07;14,10;277,22;12,84;16,08;40,79
02.01.2021 17:00:56;14,97;14,05;397,62;17,28;20,67;27,65
02.01.2021 18:00:56;34,34;15,28;1.524,19;40,12;57,04;9,83
02.01.2021 19:00:56;120,83;19,36;2.167,19;60,06;212,07;8,58
02.01.2021 20:00:56;134,41;21,65;3.430,77;56,45;233,51;8,60
02.01.2021 21:00:56;167,90;23,76;4.686,06;55,40;220,97;8,28
02.01.2021 22:00:56;176,34;24,50;4.720,16;49,66;183,23;7,36
02.01.2021 23:00:56;126,66;25,30;4.207,74;48,24;172,80;8,94
03.01.2021 00:00:56;119,72;24,96;3.618,84;44,00;141,28;7,39
03.01.2021 01:00:56;88,72;24,29;3.359,14;41,57;136,39;7,28
03.01.2021 02:00:56;84,72;22,21;3.267,77;37,00;107,14;7,49
03.01.2021 03:00:56;84,24;24,23;3.359,66;38,66;151,70;7,34
03.01.2021 04:00:56;127,66;23,62;2.890,53;34,22;143,16;6,81
03.01.2021 05:00:56;123,21;23,26;3.332,35;32,48;143,58;5,73
03.01.2021 06:00:56;126,48;23,17;4.549,44;29,70;147,82;6,77
03.01.2021 07:00:56;128,79;22,86;3.199,95;36,11;115,98;6,24
03.01.2021 08:00:56;71,93;23,32;2.004,03;35,67;102,18;6,60
