Tarih;Konya - Karatay;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
27.04.2021 15:00;21,67;-;151,1;7,35;8,26;102,46
27.04.2021 16:00;23,99;-;46,95;8,36;8,92;104,71
27.04.2021 17:00;36,34;84,61;-;11,19;11,72;104,75
27.04.2021 18:00;-;-;-;-;-;-
27.04.2021 19:00;-;-;-;-;-;-
27.04.2021 20:00;47,07;-;-;-;-;-
27.04.2021 21:00;53,26;71,77;137,67;-;-;43,74
27.04.2021 22:00;74,32;92,39;450,73;79,14;89,64;18,92
27.04.2021 23:00;79,72;92,37;226,7;74,41;79;14,21
28.04.2021 00:00;79,3;93,9;282,08;74,87;85,12;7,67
28.04.2021 01:00;77,94;-;1.139,50;68,9;82,25;3,9
28.04.2021 02:00;79,77;-;1.577,07;74,98;110,89;4,78
28.04.2021 03:00;81,33;-;1.657,90;65,99;90,31;5,16
28.04.2021 04:00;88,35;-;1.182,94;57,17;77,61;3,35
28.04.2021 05:00;85,65;-;499,61;42,69;46,53;8,4
28.04.2021 06:00;78,82;-;601,15;41,16;45,28;6,57
28.04.2021 07:00;58,52;-;810,17;48,03;62,02;5,49
28.04.2021 08:00;61,39;-;620,39;50,74;76,86;13,35
28.04.2021 09:00;61,88;-;447,19;52,33;83,06;23,07
28.04.2021 10:00;52,13;-;332,05;38,24;54,09;40,57
28.04.2021 11:00;-;-;-;-;-;-
28.04.2021 12:00;-;-;-;-;-;-
28.04.2021 13:00;-;-;-;-;-;-
28.04.2021 14:00;-;-;-;-;-;-
28.04.2021 15:00;-;-;-;-;-;-
28.04.2021 16:00;-;-;-;-;-;-
28.04.2021 17:00;-;-;-;-;-;-
28.04.2021 18:00;-;-;-;-;-;-
28.04.2021 19:00;-;-;-;-;-;-
28.04.2021 20:00;-;-;-;-;-;-
28.04.2021 21:00;4,86;83,43;-;52,38;58,84;27,44
28.04.2021 22:00;50,13;110,28;-;48,13;51,25;34,82
28.04.2021 23:00;-;-;-;-;-;-
29.04.2021 00:00;58,76;-;-;-;-;-
29.04.2021 01:00;46,07;-;834,65;57,73;62,06;13,13
29.04.2021 02:00;51,45;10,34;910,85;54,93;59,77;8,41
29.04.2021 03:00;44,7;11,53;412,64;38,02;40,89;21,26
29.04.2021 04:00;60,86;11,07;258,62;22,42;23,82;36,09
29.04.2021 05:00;41,63;12,01;491,08;27,67;29,72;27,47
