Tarih;Konya - Karkent;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
01.01.2021 00:00:56;123,69;24,52;3.077,51;77,04;348,93;4,50
01.01.2021 01:00:56;147,94;16,05;2.243,09;65,35;277,82;2,90
01.01.2021 02:00:56;141,56;8,19;1.161,89;51,79;156,81;2,21
01.01.2021 03:00:56;110,57;7,10;1.095,69;49,38;143,10;3,06
01.01.2021 04:00:56;92,88;5,79;1.030,28;46,28;129,41;3,12
01.01.2021 05:00:56;86,78;4,41;932,87;40,04;103,14;2,97
01.01.2021 06:00:56;87,25;4,40;1.097,27;37,19;102,87;3,07
01.01.2021 07:00:56;96,13;3,63;1.018,21;34,97;95,64;2,89
01.01.2021 08:00:56;93,45;2,94;978,23;35,58;95,87;2,86
01.01.2021 09:00:56;92,28;3,97;1.234,88;39,72;135,86;3,36
01.01.2021 10:00:56;110,63;8,01;1.695,40;51,49;197,26;40,16
01.01.2021 11:00:56;152,52;18,25;1.670,92;57,18;192,91;42,54
01.01.2021 12:00:56;191,40;28,74;1.131,15;51,51;140,04;45,37
01.01.2021 13:00:56;195,34;26,30;836,21;39,37;96,83;52,53
01.01.2021 14:00:56;180,04;19,75;636,02;25,77;59,68;59,80
01.01.2021 15:00:56;150,87;12,27;506,97;18,79;44,98;62,65
01.01.2021 16:00:56;106,54;5,74;445,03;17,84;39,52;62,84
01.01.2021 17:00:56;73,30;5,31;417,09;23,69;43,26;62,00
01.01.2021 18:00:56;58,31;6,31;619,46;34,99;61,35;57,42
01.01.2021 19:00:56;52,19;11,39;1.369,68;68,61;158,22;46,11
01.01.2021 20:00:56;66,36;15,97;1.841,09;91,72;239,98;39,28
01.01.2021 21:00:56;93,64;14,84;1.388,92;79,27;184,70;38,93
01.01.2021 22:00:56;107,54;11,69;1.093,08;67,03;133,83;38,69
01.01.2021 23:00:56;107,77;10,66;1.189,91;61,41;125,90;38,72
02.01.2021 00:00:56;108,45;11,02;1.516,23;59,45;147,26;3,65
02.01.2021 01:00:56;109,05;11,69;2.056,35;60,33;183,13;3,56
02.01.2021 02:00:56;109,43;9,98;1.950,48;55,42;166,94;3,07
02.01.2021 03:00:56;112,92;7,09;1.364,70;48,20;121,74;2,46
02.01.2021 04:00:56;114,76;5,82;1.086,48;44,03;93,56;2,31
02.01.2021 05:00:56;110,31;5,69;1.075,23;42,20;95,62;2,46
02.01.2021 06:00:56;100,61;5,52;1.193,60;41,81;107,49;2,53
02.01.2021 07:00:56;86,04;5,22;1.516,17;42,75;118,58;2,64
02.01.2021 08:00:56;77,85;7,06;1.880,96;45,83;150,33;2,89
02.01.2021 09:00:56;81,68;9,77;2.101,84;47,82;214,25;38,30
02.01.2021 10:00:56;159,55;11,51;2.599,35;54,12;244,35;40,18
02.01.2021 11:00:56;263,81;18,32;2.995,63;72,38;239,43;41,81
02.01.2021 12:00:56;257,91;17,69;2.080,33;71,58;179,99;46,43
02.01.2021 13:00:56;176,16;11,77;1.152,57;59,42;114,20;53,31
02.01.2021 14:00:56;106,57;10,37;841,21;40,46;76,47;59,01
02.01.2021 15:00:56;66,15;6,52;541,34;17,84;41,03;63,36
02.01.2021 16:00:56;40,36;4,61;458,44;17,11;39,94;63,86
02.01.2021 17:00:56;23,18;4,27;423,42;19,83;41,79;62,94
02.01.2021 18:00:56;24,44;5,67;582,10;32,17;55,57;56,99
02.01.2021 19:00:56;55,32;9,32;976,87;62,43;120,04;45,23
02.01.2021 20:00:56;94,14;11,79;1.621,08;80,76;217,45;39,03
02.01.2021 21:00:56;127,62;13,32;2.051,84;79,70;245,59;38,87
02.01.2021 22:00:56;143,76;18,55;2.004,13;73,83;186,15;38,78
02.01.2021 23:00:56;132,43;19,39;1.766,61;66,42;130,65;38,52
03.01.2021 00:00:56;102,78;15,76;1.522,30;60,31;103,36;3,81
03.01.2021 01:00:56;81,47;14,59;1.390,58;54,38;85,34;4,31
03.01.2021 02:00:56;72,92;13,55;1.452,21;52,28;90,60;3,64
03.01.2021 03:00:56;68,73;10,19;1.793,17;49,61;148,74;3,22
03.01.2021 04:00:56;89,91;6,43;1.869,89;43,41;170,08;2,70
03.01.2021 05:00:56;117,24;5,18;1.592,02;41,61;136,70;1,93
03.01.2021 06:00:56;116,20;4,24;1.367,94;40,00;115,63;1,77
03.01.2021 07:00:56;94,69;4,17;1.438,62;37,42;131,47;2,14
