Tarih;Konya Laboratuvar Yaygýnlaþtýrma;;;;;
;PM10 ( l/dk );SO2 ( mg/m3 );CO ( mg/m3 );NO2 ( mg/m3 );NOX ( mg/m3 );O3 ( mg/m3 )
01.01.2021 00:00:56;21,23;8,21;293,05;22,24;24,29;43,53
01.01.2021 01:00:56;24,01;14,29;812,36;39,84;44,08;24,03
01.01.2021 02:00:56;27,08;12,76;957,40;36,49;40,44;20,87
01.01.2021 03:00:56;32,22;10,66;662,03;26,23;29,20;26,60
01.01.2021 04:00:56;33,89;13,79;984,67;32,16;35,34;20,94
01.01.2021 05:00:56;38,66;8,04;507,26;20,12;21,96;29,19
01.01.2021 06:00:56;35,61;7,99;494,11;20,47;22,34;28,69
01.01.2021 07:00:56;27,55;9,73;918,18;41,69;48,82;12,48
01.01.2021 08:00:56;27,31;10,35;934,16;44,52;53,74;11,89
01.01.2021 09:00:56;27,74;9,29;601,40;50,49;75,33;21,90
01.01.2021 10:00:56;26,71;16,94;1.157,20;75,27;115,87;11,49
01.01.2021 11:00:56;37,53;30,37;2.220,36;156,06;274,37;11,59
01.01.2021 12:00:56;66,28;48,23;2.432,22;167,47;258,66;19,88
01.01.2021 13:00:56;108,17;84,73;1.759,64;130,06;184,44;30,65
01.01.2021 14:00:56;134,37;59,43;959,97;69,24;91,29;50,84
01.01.2021 15:00:56;110,07;44,15;601,84;39,23;47,90;61,00
01.01.2021 16:00:56;80,23;29,95;482,15;33,35;39,74;60,49
01.01.2021 17:00:56;58,75;23,06;519,05;35,92;41,48;54,66
01.01.2021 18:00:56;50,95;22,10;599,43;41,79;46,20;43,05
01.01.2021 19:00:56;61,30;16,43;560,90;46,54;52,29;32,51
01.01.2021 20:00:56;61,96;16,71;680,66;38,46;42,97;33,62
01.01.2021 21:00:56;56,51;19,84;998,84;57,31;66,32;19,73
01.01.2021 22:00:56;63,48;10,57;422,43;22,10;24,90;39,85
01.01.2021 23:00:56;41,78;15,71;996,36;41,63;49,97;26,45
02.01.2021 00:00:56;40,77;10,23;369,09;23,98;27,51;39,08
02.01.2021 01:00:56;39,33;7,06;207,85;14,57;16,23;48,86
02.01.2021 02:00:56;28,40;8,79;456,65;22,14;24,58;39,57
02.01.2021 03:00:56;28,79;8,47;621,21;32,35;35,21;25,36
02.01.2021 04:00:56;33,14;10,22;807,64;30,90;34,02;21,62
02.01.2021 05:00:56;33,67;7,98;497,61;21,32;23,24;28,69
02.01.2021 06:00:56;39,06;5,58;221,18;15,30;16,85;36,64
02.01.2021 07:00:56;29,97;5,37;173,49;11,53;12,94;45,47
02.01.2021 08:00:56;22,58;4,66;199,41;16,71;19,05;41,76
02.01.2021 09:00:56;20,68;7,40;681,27;36,19;42,54;23,58
02.01.2021 10:00:56;23,10;14,23;1.208,10;82,12;126,84;10,45
02.01.2021 11:00:56;33,11;23,48;1.092,60;63,92;92,71;26,86
02.01.2021 12:00:56;37,73;11,15;398,23;30,80;40,69;47,97
02.01.2021 13:00:56;40,28;29,75;639,46;48,24;63,47;50,30
02.01.2021 14:00:56;44,97;12,53;548,86;61,11;78,56;53,15
02.01.2021 15:00:56;52,39;9,76;284,80;29,38;36,13;67,39
02.01.2021 16:00:56;52,86;7,86;252,79;22,82;27,29;69,64
02.01.2021 17:00:56;45,21;10,53;263,76;24,57;28,35;65,48
02.01.2021 18:00:56;37,36;15,53;681,96;45,48;53,34;43,69
02.01.2021 19:00:56;61,97;34,44;1.291,45;61,15;78,35;20,39
02.01.2021 20:00:56;85,06;14,28;528,88;34,63;39,09;30,87
02.01.2021 21:00:56;78,00;9,88;287,69;24,36;26,19;41,61
