Tarih;Konya - Meram;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 )
01.01.2021 00:00:56;78,80;29,73;1.540,06;49,66;90,98
01.01.2021 01:00:56;38,25;32,73;2.318,93;47,34;104,33
01.01.2021 02:00:56;63,98;51,21;3.742,13;49,85;154,33
01.01.2021 03:00:56;116,64;50,67;4.096,74;51,92;190,85
01.01.2021 04:00:56;128,95;36,40;4.252,81;48,37;185,70
01.01.2021 05:00:56;115,72;37,54;5.403,27;44,02;177,71
01.01.2021 06:00:56;138,02;33,88;5.010,36;39,99;143,45
01.01.2021 07:00:56;114,60;30,24;4.791,24;37,00;118,64
01.01.2021 08:00:56;101,44;32,35;5.458,39;37,22;142,36
01.01.2021 09:00:56;121,16;37,75;5.881,70;39,81;175,36
01.01.2021 10:00:56;131,44;54,47;7.059,87;48,71;198,60
01.01.2021 11:00:56;169,18;68,66;5.908,62;60,00;175,33
01.01.2021 12:00:56;154,28;70,53;4.024,57;67,19;134,22
01.01.2021 13:00:56;125,35;53,80;2.714,76;53,77;91,96
01.01.2021 14:00:56;103,64;31,91;1.528,97;27,43;49,83
01.01.2021 15:00:56;66,98;21,67;1.152,50;16,95;34,69
01.01.2021 16:00:56;39,00;17,67;990,37;15,97;31,96
01.01.2021 17:00:56;27,40;18,07;923,75;15,62;28,64
01.01.2021 18:00:56;24,46;28,59;1.243,56;25,54;38,03
01.01.2021 19:00:56;40,25;44,85;1.680,07;48,02;65,69
01.01.2021 20:00:56;69,93;46,82;1.997,26;60,71;88,28
01.01.2021 21:00:56;80,07;45,45;2.161,48;65,60;123,56
01.01.2021 22:00:56;81,85;44,17;2.050,16;68,92;146,70
01.01.2021 23:00:56;76,66;42,85;2.183,57;63,65;134,44
02.01.2021 00:00:56;67,92;37,12;1.993,00;56,13;108,08
02.01.2021 01:00:56;49,62;28,19;1.468,07;44,31;69,30
02.01.2021 02:00:56;27,19;23,90;1.250,27;36,33;53,09
02.01.2021 03:00:56;19,60;23,31;1.312,07;40,13;58,84
02.01.2021 04:00:56;23,40;23,35;1.608,71;47,12;78,58
02.01.2021 05:00:56;33,38;20,58;1.678,27;61,10;128,26
02.01.2021 06:00:56;28,54;17,08;1.468,79;63,57;135,60
02.01.2021 07:00:56;17,99;15,15;1.337,26;53,33;103,31
02.01.2021 08:00:56;18,21;15,12;1.494,36;46,96;82,69
02.01.2021 09:00:56;24,45;17,05;1.738,52;44,83;74,57
02.01.2021 10:00:56;38,39;41,53;4.141,41;49,40;111,57
02.01.2021 11:00:56;108,12;54,41;4.495,48;50,18;117,39
02.01.2021 12:00:56;121,72;34,27;1.838,75;34,66;63,62
02.01.2021 13:00:56;54,82;34,09;1.349,85;30,08;48,88
02.01.2021 14:00:56;55,81;37,96;1.301,47;35,17;53,88
02.01.2021 15:00:56;72,59;26,59;988,14;23,72;37,31
02.01.2021 16:00:56;46,97;18,13;854,88;15,03;24,23
02.01.2021 17:00:56;22,87;17,13;784,34;17,70;25,76
02.01.2021 18:00:56;20,13;22,03;883,56;28,72;36,31
02.01.2021 19:00:56;24,31;34,23;1.331,71;48,84;64,61
02.01.2021 20:00:56;47,26;36,45;1.723,65;63,08;106,03
02.01.2021 21:00:56;63,55;29,86;1.802,79;61,00;107,47
02.01.2021 22:00:56;51,00;25,36;1.510,41;54,83;79,66
02.01.2021 23:00:56;38,82;21,69;1.222,25;50,58;67,78
03.01.2021 00:00:56;34,63;19,14;1.319,24;47,67;64,23
03.01.2021 01:00:56;38,92;17,42;1.176,07;42,30;55,62
03.01.2021 02:00:56;35,23;15,82;964,66;33,35;42,15
03.01.2021 03:00:56;29,63;13,85;1.034,22;27,63;35,65
03.01.2021 04:00:56;32,56;12,06;1.223,52;26,88;35,58
03.01.2021 05:00:56;36,20;23,77;3.342,46;32,34;54,81
03.01.2021 06:00:56;85,27;33,99;5.195,17;35,88;77,86
03.01.2021 07:00:56;122,81;23,92;3.368,77;28,70;58,24
03.01.2021 08:00:56;75,07;16,52;1.967,85;25,82;42,58
03.01.2021 09:00:56;39,38;26,72;4.229,07;38,76;102,15
03.01.2021 10:00:56;94,02;42,46;5.041,33;44,66;123,23
03.01.2021 11:00:56;108,29;46,88;3.217,33;50,10;103,02
03.01.2021 12:00:56;84,27;49,07;2.354,73;56,45;101,47
03.01.2021 13:00:56;88,53;51,99;1.765,05;47,63;76,75
03.01.2021 14:00:56;76,52;50,83;1.473,70;42,27;62,70
03.01.2021 15:00:56;78,99;62,46;1.439,43;45,99;65,71
03.01.2021 16:00:56;90,06;62,21;1.253,04;46,35;64,59
03.01.2021 17:00:56;76,70;49,97;1.102,11;41,10;55,21
03.01.2021 18:00:56;59,66;48,30;1.203,78;39,80;53,55
03.01.2021 19:00:56;64,93;52,67;1.648,99;51,69;75,94
03.01.2021 20:00:56;89,96;54,89;2.033,13;59,10;91,16
03.01.2021 21:00:56;99,92;50,94;2.399,22;55,55;98,64
03.01.2021 22:00:56;115,78;46,91;2.780,42;52,58;103,60
03.01.2021 23:00:56;145,43;36,95;2.804,33;48,06;98,69
04.01.2021 00:00:56;141,25;30,16;2.612,40;44,11;87,24
04.01.2021 01:00:56;120,23;26,16;2.078,34;38,67;62,47
04.01.2021 02:00:56;87,98;21,45;1.718,57;33,88;52,06
04.01.2021 03:00:56;65,88;18,92;1.701,49;38,89;72,82
04.01.2021 04:00:56;63,03;17,49;2.053,98;42,10;84,24
04.01.2021 05:00:56;64,03;17,23;2.503,28;36,47;78,04
04.01.2021 06:00:56;64,05;14,91;2.120,35;29,38;59,52
04.01.2021 07:00:56;51,46;12,15;1.551,07;26,52;43,14
04.01.2021 08:00:56;40,12;12,24;1.988,05;37,67;112,14
04.01.2021 09:00:56;59,80;17,37;4.056,92;55,43;270,81
04.01.2021 10:00:56;107,26;50,41;7.261,13;69,41;350,54
04.01.2021 11:00:56;205,12;73,34;7.838,58;85,44;327,26
04.01.2021 12:00:56;272,28;53,75;4.714,62;80,75;223,07
04.01.2021 13:00:56;195,34;44,85;2.576,32;65,63;121,90
04.01.2021 14:00:56;117,50;45,16;2.062,48;55,57;95,55
04.01.2021 15:00:56;104,35;39,49;1.657,32;42,85;72,29
04.01.2021 16:00:56;89,08;33,55;1.354,60;32,22;54,90
04.01.2021 17:00:56;65,01;28,38;1.156,38;26,03;42,87
04.01.2021 18:00:56;43,25;34,38;1.649,32;40,41;64,90
04.01.2021 19:00:56;51,64;42,31;2.286,68;66,29;165,35
04.01.2021 20:00:56;79,84;50,85;3.325,04;85,11;312,78
04.01.2021 21:00:56;127,73;51,49;3.662,91;79,37;303,46
04.01.2021 22:00:56;140,42;40,11;3.047,76;64,22;222,29
04.01.2021 23:00:56;116,64;33,17;2.883,63;60,27;221,74
05.01.2021 00:00:56;107,85;29,40;2.836,35;54,59;196,30
05.01.2021 01:00:56;104,07;30,22;2.549,28;45,70;129,30
05.01.2021 02:00:56;95,03;47,22;4.337,23;39,36;104,60
05.01.2021 03:00:56;175,05;68,49;6.877,02;35,21;116,67
05.01.2021 04:00:56;262,73;63,70;6.065,64;32,74;100,73
05.01.2021 05:00:56;208,11;43,95;3.753,79;32,00;74,70
05.01.2021 06:00:56;108,40;32,14;2.477,64;30,70;58,35
05.01.2021 07:00:56;56,40;28,54;2.047,00;28,15;50,98
05.01.2021 08:00:56;44,45;30,23;2.156,17;34,58;75,88
05.01.2021 09:00:56;47,53;31,78;2.666,20;49,60;160,98
05.01.2021 10:00:56;60,75;36,43;3.071,22;61,94;228,91
05.01.2021 11:00:56;82,06;49,50;2.845,78;62,86;176,40
05.01.2021 12:00:56;93,42;45,02;1.929,33;56,13;97,41
05.01.2021 13:00:56;76,45;26,07;1.027,19;38,64;59,77
05.01.2021 14:00:56;48,22;19,01;585,14;25,61;37,81
05.01.2021 15:00:56;28,87;19,46;588,37;26,27;37,62
05.01.2021 16:00:56;26,12;22,69;696,52;26,51;39,38
05.01.2021 17:00:56;29,62;28,05;830,35;35,09;49,78
05.01.2021 18:00:56;33,06;33,84;1.232,79;57,01;121,15
05.01.2021 19:00:56;50,58;49,54;1.924,03;70,66;172,54
05.01.2021 20:00:56;77,96;47,35;1.860,77;65,58;136,64
05.01.2021 21:00:56;72,83;39,80;1.693,05;60,61;104,83
05.01.2021 22:00:56;57,50;44,10;1.739,30;51,09;81,33
05.01.2021 23:00:56;57,30;42,08;1.576,40;37,59;56,36
06.01.2021 00:00:56;51,65;41,00;1.781,36;38,22;53,86
06.01.2021 01:00:56;58,18;35,43;1.874,54;41,85;60,33
06.01.2021 02:00:56;60,02;25,65;1.789,96;38,30;55,63
06.01.2021 03:00:56;48,50;26,57;2.537,14;39,10;58,31
06.01.2021 04:00:56;64,41;26,61;2.999,09;35,62;54,66
06.01.2021 05:00:56;71,29;23,24;3.167,04;31,48;50,33
06.01.2021 06:00:56;68,52;21,99;3.617,83;40,93;83,96
06.01.2021 07:00:56;81,20;17,02;2.924,60;47,59;118,41
06.01.2021 08:00:56;70,80;12,80;2.649,11;46,96;168,38
06.01.2021 09:00:56;69,21;12,50;3.018,98;50,37;233,64
06.01.2021 10:00:56;72,19;20,12;3.363,33;60,27;253,00
06.01.2021 11:00:56;82,53;41,38;4.200,10;77,59;255,91
06.01.2021 12:00:56;122,90;58,22;3.839,89;80,75;214,19
06.01.2021 13:00:56;127,92;52,37;2.432,74;61,46;129,65
06.01.2021 14:00:56;99,09;41,71;1.651,66;43,51;77,17
06.01.2021 15:00:56;74,75;35,90;1.390,70;36,57;61,35
06.01.2021 16:00:56;54,83;26,91;1.223,79;29,49;49,41
06.01.2021 17:00:56;37,13;23,11;1.134,57;27,69;43,89
06.01.2021 18:00:56;28,79;29,53;1.450,73;43,57;66,21
06.01.2021 19:00:56;38,62;36,14;2.427,59;74,75;221,41
06.01.2021 20:00:56;70,13;32,28;3.302,52;97,84;399,52
06.01.2021 21:00:56;97,28;25,98;3.083,48;90,14;380,94
06.01.2021 22:00:56;88,27;23,77;2.421,28;69,15;248,10
06.01.2021 23:00:56;70,94;23,54;2.198,99;57,19;165,22
07.01.2021 00:00:56;70,30;23,09;2.298,33;49,78;135,39
07.01.2021 01:00:56;78,82;21,14;2.252,25;43,94;113,18
07.01.2021 02:00:56;72,29;23,97;2.765,38;43,63;115,31
07.01.2021 03:00:56;85,25;27,61;3.341,73;47,59;144,06
07.01.2021 04:00:56;100,04;22,16;2.687,62;46,49;143,22
07.01.2021 05:00:56;73,43;16,05;1.768,35;36,41;94,32
07.01.2021 06:00:56;45,34;13,10;1.294,15;29,48;64,45
07.01.2021 07:00:56;29,15;13,79;1.804,86;34,56;72,41
07.01.2021 08:00:56;36,11;16,14;3.214,15;43,54;146,27
07.01.2021 09:00:56;68,42;28,15;5.954,47;49,58;258,06
07.01.2021 10:00:56;137,54;49,22;7.654,39;63,92;339,66
07.01.2021 11:00:56;215,85;61,99;6.931,62;91,59;361,53
07.01.2021 12:00:56;246,26;58,58;5.339,74;101,82;273,10
07.01.2021 13:00:56;207,60;46,29;3.321,93;95,15;192,52
07.01.2021 14:00:56;160,56;35,11;2.105,86;76,78;147,15
07.01.2021 15:00:56;118,56;26,49;1.541,97;49,60;90,17
07.01.2021 16:00:56;68,66;22,40;1.268,86;38,66;69,84
07.01.2021 17:00:56;48,39;24,19;1.251,17;47,71;83,00
07.01.2021 18:00:56;46,26;32,46;1.545,47;68,77;139,38
07.01.2021 19:00:56;53,56;35,58;1.610,56;76,59;176,23
07.01.2021 20:00:56;53,35;33,14;1.534,44;70,16;151,85
07.01.2021 21:00:56;51,69;50,01;2.686,85;68,68;174,27
07.01.2021 22:00:56;91,74;118,40;6.349,82;72,34;286,23
07.01.2021 23:00:56;252,57;114,84;5.426,48;59,75;233,96
